"","LH-MD9-0000","LH-MD9-0250","LH-MD9-0450","LH-MD9-0700","LH-MD9-0900","LH-MD9-1150","NM-MD9-1849","NM-MD9-2050","NM-MD9-2250","NM-MD9-2450","NM-MD9-2650"
"Abrus",0,0,0,0,0,0,0,0,0,11,0
"Acer",0,0,0,0,18,0,0,17,0,0,0
"Acetobacter",15,11,0,12,0,0,0,0,0,18,0
"Achromobacter",62,17,24,19,17,22,0,10,50,33,43
"Acidibrevibacterium",40,20,10,16,0,0,0,0,0,17,0
"Acidihalobacter",37,18,14,15,0,0,0,11,234,20,11
"Acidiphilium",16,0,0,0,0,0,0,0,0,0,0
"Acidipropionibacterium",0,0,0,0,0,0,0,37,14,10,11
"Acidithiobacillus",16,0,0,0,10,13,0,10,20,26,10
"Acidovorax",52,16,11,16,0,15,11,13,37,41,24
"Acinetobacter",19,18,38,47,31,44,94,46,143,94,103
"Acipenser",0,0,0,0,10,0,0,0,10,16,15
"Acomys",0,0,0,0,0,0,10,0,0,22,0
"Actibacterium",15,10,13,0,0,0,15,0,187,0,0
"Actinia",0,0,0,0,0,0,0,0,0,12,12
"Actinoalloteichus",0,0,0,0,0,0,0,0,18,19,24
"Actinocatenispora",0,18,21,14,10,0,0,0,0,20,16
"Actinokineospora",0,0,0,0,0,0,0,0,0,10,31
"Actinomadura",21,55,56,45,41,49,23,19,45,60,78
"Actinomarinicola",30,11,15,13,14,10,0,11,12,38,18
"Actinomyces",14,0,0,0,13,12,11,17,33,16,32
"Actinoplanes",34,111,140,134,128,73,102,67,49,157,64
"Actinopolymorpha",0,0,0,0,16,0,0,0,0,13,19
"Actinopolyspora",0,0,0,0,0,0,0,0,0,0,11
"Acuticoccus",41,21,15,11,0,0,0,0,0,16,10
"Adhaeretor",73,21,33,27,27,55,20,19,28,40,38
"Aedes",0,13,0,14,26,26,26,37,45,53,35
"Aegilops",0,0,0,0,0,0,0,0,10,12,0
"Aeoliella",31,15,12,0,0,13,0,10,29,21,33
"Aeribacillus",0,0,0,0,0,0,49,15,0,15,0
"Aeromicrobium",20,15,0,16,14,10,0,21,35,30,23
"Aeromonas",46,17,16,36,22,30,12,32,50,38,21
"Aestuariispira",26,12,0,17,0,0,0,0,0,0,0
"Afipia",27,13,0,12,11,0,0,0,11,14,12
"Agarivorans",0,0,14,0,0,0,0,0,0,11,0
"Agonopterix",0,0,0,0,0,0,0,0,0,11,0
"Agrobacterium",38,27,37,29,35,24,55,26,91,61,36
"Agrococcus",0,0,11,55,11,9828,31928,101000,7582,282,485
"Agromyces",18,21,16,0,16,0,13,87,25,27,34
"Alcanivorax",47,20,57,34,45,7964,54338,613,37140,63,622
"Algibacter",0,0,23,0,0,0,13,13,23,33,30
"Algoriphagus",0,0,0,0,0,0,281,1705,2188,21,0
"Alicycliphilus",11,0,0,0,0,0,0,0,0,0,0
"Alicyclobacillus",0,0,0,0,0,0,0,12,0,16,17
"Alienimonas",16,10,10,0,0,0,0,0,14,14,0
"Aliivibrio",0,25,15,0,19,29,31,29,34,111,55
"Alistipes",16,0,0,0,0,0,0,0,10,11,12
"Alitta",0,14,0,0,0,12,10,0,11,18,19
"Alkalihalobacillus",0,0,0,14,23,20,69,109,28,11,24
"Alkalihalophilus",0,0,0,0,0,0,30,0,13,0,20
"Alkalilimnicola",0,0,0,0,0,0,0,0,24,10,0
"Alkaliphilus",0,0,0,0,0,12,38,0,0,25,0
"Alkalitalea",0,0,0,31,0,0,0,0,0,0,0
"Allantophomopsis",0,0,0,0,0,0,0,0,0,0,12
"Alloactinosynnema",0,0,0,0,0,0,0,0,12,0,19
"Allochromatium",27,0,13,0,0,0,0,0,32,0,0
"Allokutzneria",0,0,0,0,0,0,0,10,10,0,17
"Allosaccharopolyspora",0,0,0,0,0,0,0,0,0,0,12
"Alosa",0,0,0,0,0,0,0,0,11,10,19
"Alsophila",0,0,0,0,0,0,0,0,10,14,0
"Altererythrobacter",40,17,10,0,11,0,85,17,54,18,13
"Alternaria",0,0,0,0,0,0,0,0,0,0,11
"Alteromonas",0,0,0,11,0,373,18,10,23,31,13
"Ambidensovirus",0,0,0,11,0,0,0,0,0,0,0
"Amblyraja",0,0,0,11,12,21,12,22,34,64,35
"Amblyteles",0,0,0,0,0,10,0,0,0,19,17
"Amborella",0,0,0,0,0,0,0,0,12,14,12
"Aminobacter",47,13,12,10,0,0,17,33,56,19,11
"Amorphotheca",0,0,0,0,0,0,0,0,10,0,0
"Amphibalanus",0,0,0,0,0,10,29,12,16,12,0
"Amphritea",0,0,161,19,0,0,0,16,13,16,25
"Amycolatopsis",70,56,58,51,72,60,39,68,123,144,222
"Anabaena",0,0,0,0,0,0,0,0,0,0,22
"Anabaenopsis",0,0,0,0,78,110,0,0,0,0,577
"Anaerobacillus",0,0,44,330,115,20,275,166,114,0,45
"Anaerocolumna",0,0,0,0,0,0,0,0,0,12,11
"Anaerohalosphaera",16,20,30,17,14,15,11,13,15,36,32
"Anaeromyxobacter",101,22,23,27,27,35,0,19,23,60,45
"Ananas",0,0,0,0,0,0,0,0,11,16,14
"Anarrhichthys",0,0,0,0,0,0,12,17,12,29,0
"Anas",0,0,0,0,0,0,0,0,0,13,0
"Anatilimnocola",43,13,21,12,24,27,0,19,18,30,24
"Ancylobacter",90,35,30,28,18,15,15,21,20,35,21
"Anderseniella",40,145,123,122,85,151,3021,92,26,72,55
"Andrena",0,0,0,11,10,14,10,12,16,35,20
"Aneurinibacillus",0,0,0,0,0,11,46,45,23,0,11
"Anguilla",0,0,0,0,0,11,0,0,15,17,14
"Anopheles",0,0,0,0,0,13,0,0,14,14,15
"Anoxybacillus",15,15,13,0,0,13,16,18,0,22,11
"Antarctobacter",0,0,0,0,0,0,0,0,13,0,0
"Aotus",0,0,0,0,0,0,0,0,0,11,0
"Aphanizomenon",0,0,0,0,0,0,0,0,0,0,21
"Aphis",0,0,0,0,0,0,0,0,0,10,0
"Apis",0,0,0,0,0,0,0,13,16,19,0
"Aplidium",0,56,30,20,51,37,17,18,16,23,16
"Aplysia",0,0,0,0,0,11,10,10,14,19,17
"Aquabacter",20,0,10,0,0,0,0,0,0,12,0
"Aquabacterium",16,0,0,0,0,0,0,0,0,0,0
"Aquibium",79,30,26,16,14,15,27,21,61,32,26
"Aquihabitans",51,17,22,31,25,18,11,13,17,42,40
"Aquimarina",0,0,0,0,0,0,0,11,14,34,21
"Aquisalimonas",11,0,0,0,0,0,0,0,19,0,0
"Aquisalinus",15,0,13,0,0,0,0,0,0,0,0
"Aquisphaera",43,0,11,0,12,12,0,15,0,23,22
"Arabidopsis",0,0,0,0,0,0,0,0,0,0,13
"Arabis",0,0,0,0,10,0,0,0,0,0,0
"Arachis",0,0,0,0,0,0,0,0,17,0,12
"Archangium",42,12,15,0,10,11,0,0,0,19,21
"Arcobacter",0,0,0,0,0,0,0,0,11,15,0
"Arenibacter",0,12,21,11,0,0,0,0,0,0,0
"Arenimonas",10,0,0,0,0,0,0,0,0,0,0
"Aromatoleum",49,14,10,15,0,0,0,12,15,18,11
"Arthrobacter",75,158,163,97,81,91,29,674,380,105,134
"Artibeus",0,0,0,0,0,0,0,0,0,10,0
"Arvicanthis",0,0,0,0,0,0,0,13,12,26,20
"Arvicola",0,0,0,0,0,0,0,0,0,21,12
"Asparagus",0,0,0,0,0,0,0,0,15,15,13
"Aspergillus",0,71,70,32,18,98,13,19,15,48,20
"Asplenium",0,0,0,0,0,0,0,0,0,0,10
"Asterias",18,382,99,83,103,263,157,159,499,543,572
"Asterionellopsis",0,0,0,0,0,0,0,0,18,27,0
"Asticcacaulis",12,0,0,0,0,0,0,0,0,12,0
"Attheya",0,0,0,0,0,0,18,14,24,31,30
"Aurantiacibacter",0,0,0,0,0,0,360,18,62,0,0
"Aurantimonas",64,31,18,12,12,13,17,14,939,48,17
"Aureibaculum",0,0,0,15,0,0,0,0,14,11,0
"Aureimonas",116,43,38,37,25,31,12,35,93,86,36
"Aurelia",0,23,0,0,51,47,0,0,0,10,13
"Aureliella",26,19,21,24,20,20,11,0,0,28,13
"Aureococcus",25,618,281,578,745,838,568,332,785,1711,938
"Auritidibacter",0,0,0,0,0,0,0,35,0,0,0
"Austwickia",0,0,0,0,0,0,0,0,10,12,10
"Auxenochlorella",0,0,0,0,0,23,0,12,31,15,15
"Avena",0,12,0,0,0,0,0,0,0,19,22
"Azoarcus",76,26,24,15,15,20,12,0,29,40,31
"Azorhizobium",0,0,0,0,0,0,0,0,0,11,0
"Azospira",26,0,10,0,0,0,0,0,14,0,0
"Azospirillum",626,244,156,95,58,62,25,33,49,83,52
"Azotobacter",12,0,0,0,0,0,0,0,16,11,0
"Bacillaria",0,0,0,0,0,0,13,14,20,32,17
"Bacillus",25,37,50,187,135,140,639,591,154,113,442
"Bacteroides",0,0,0,0,0,0,0,0,0,12,12
"Bactrocera",0,0,0,0,0,0,0,0,10,13,0
"Baekduia",14,19,17,10,0,22,0,0,14,69,35
"Balaenoptera",0,18,0,0,11,0,12,13,12,17,0
"Bambusa",0,0,0,0,0,0,0,0,18,28,42
"Bartonella",0,0,0,0,0,0,0,0,13,22,0
"Bathycoccus",107,1004,685,686,1026,1531,1804,1892,4293,7248,6535
"Bellamyvirus",0,0,0,0,0,0,0,0,18,37,27
"Belliella",0,0,0,14,0,0,0,0,0,0,0
"Belonocnema",0,0,0,0,0,0,0,0,10,19,0
"Bemisia",0,0,0,0,0,0,0,0,0,15,0
"Benincasa",0,0,0,0,0,0,0,0,11,11,0
"Beta",0,0,0,0,15,0,0,0,0,0,0
"Betula",0,12,30,19,33,43,33,62,116,104,113
"Bibersteinia",0,0,0,16,0,0,0,0,0,0,0
"Bifidobacterium",0,0,0,0,0,0,0,12,0,16,20
"Bigelowiella",0,0,10,0,12,0,0,0,280,301,146
"Biomphalaria",0,10,0,0,0,0,0,12,15,26,0
"Blastobasis",0,0,0,12,0,0,0,0,0,0,0
"Blastochloris",99,25,29,22,22,18,10,0,18,41,24
"Blastococcus",12,20,21,0,13,12,0,12,14,14,59
"Blastopirellula",21,10,0,0,0,16,0,0,15,22,24
"Blattabacterium",0,0,0,0,0,0,0,0,10,15,10
"Bolboschoenus",0,0,0,0,0,0,0,12,20,21,27
"Boleophthalmus",0,0,0,0,0,11,0,0,25,34,20
"Bombax",0,0,0,0,0,0,0,0,15,18,0
"Bombus",0,0,0,11,0,10,12,0,13,19,12
"Bombylius",0,0,0,0,0,0,0,0,10,22,0
"Bordetella",83,27,17,29,13,18,22,34,45,52,41
"Bosea",177,97,93,52,31,55,20,43,49,132,77
"Boseongicola",0,0,28,14,15,11,0,0,0,12,12
"Botryllus",0,13,0,0,13,0,0,0,0,0,0
"Botryococcus",0,0,0,0,0,10,0,0,0,0,0
"Botrytis",0,0,0,0,0,0,10,12,0,15,15
"Brachybacterium",14,13,0,0,0,11,0,28,148,17,24
"Brachypodium",0,0,0,0,16,17,0,21,14,29,30
"Bradyrhizobium",888,628,1594,295,243,285,352,221,302,1806,848
